target_note,target_midi,source_note,source_frequency_hz,source_file,source_start_seconds,source_end_seconds,retune_ratio,segment_median_cents,segment_drift_cents,secondary_pulse_ratio,pre_note_ratio,body_sustain_ratio
D4,62,D4,293.665,flute_D4_15_forte_normal.mp3,0.022,0.522,1.000000,0.060,-4.288,0.943,0.052,1.196
D#4,63,Ds4,311.127,flute_Ds4_05_piano_normal.mp3,0.040,0.540,1.000000,0.002,-8.637,1.059,0.248,1.158
E4,64,E4,329.628,flute_E4_1_mezzo-forte_normal.mp3,0.053,0.553,1.000000,0.660,-11.583,1.195,0.121,1.695
F4,65,F4,349.228,flute_F4_15_forte_normal.mp3,0.018,0.518,1.000000,-0.324,1.492,1.365,0.255,1.792
F#4,66,Fs4,369.994,flute_Fs4_1_mezzo-forte_normal.mp3,0.023,0.523,1.000000,-0.195,1.942,1.545,0.295,3.532
G4,67,G4,391.995,flute_G4_1_mezzo-piano_normal.mp3,0.022,0.522,1.000000,1.060,-8.778,1.011,0.163,1.543
G#4,68,Gs4,415.305,flute_Gs4_1_piano_normal.mp3,0.056,0.556,1.000000,-0.093,1.699,1.142,0.567,1.047
A4,69,A4,440.000,flute_A4_15_piano_normal.mp3,0.048,0.548,1.000000,-2.736,-5.652,1.161,0.172,1.895
Bb4,70,As4,466.164,flute_As4_1_piano_normal.mp3,0.018,0.518,1.000000,-3.161,-5.303,1.945,0.248,5.688
B4,71,B4,493.883,flute_B4_05_piano_normal.mp3,0.018,0.518,1.000000,0.471,-11.648,1.005,0.213,1.259
C5,72,C5,523.251,flute_C5_05_mezzo-piano_normal.mp3,0.038,0.538,1.000000,1.163,4.971,1.033,0.135,1.046
C#5,73,Cs5,554.365,flute_Cs5_15_piano_normal.mp3,0.018,0.518,1.000000,0.558,-7.088,1.201,0.282,2.271
D5,74,D5,587.330,flute_D5_05_piano_normal.mp3,0.018,0.518,1.000000,-3.437,-8.356,1.066,0.302,2.227
D#5,75,Ds5,622.254,flute_Ds5_05_pianissimo_normal.mp3,0.040,0.540,1.000000,1.641,-11.521,0.784,0.280,1.049
E5,76,E5,659.255,flute_E5_15_mezzo-piano_normal.mp3,0.022,0.522,1.000000,-0.366,-8.554,1.214,0.152,1.466
F5,77,F5,698.456,flute_F5_15_mezzo-piano_normal.mp3,0.025,0.525,1.000000,0.852,-12.517,1.053,0.138,1.359
F#5,78,Fs5,739.989,flute_Fs5_1_mezzo-piano_normal.mp3,0.033,0.533,1.000000,-0.554,-0.932,1.381,0.200,1.382
G5,79,G5,783.991,flute_G5_05_piano_normal.mp3,0.018,0.518,1.000000,-1.345,-9.714,0.923,0.151,1.147
G#5,80,Gs5,830.609,flute_Gs5_05_pianissimo_normal.mp3,0.018,0.518,1.000000,-2.870,2.112,1.210,0.716,1.078
A5,81,A5,880.000,flute_A5_15_mezzo-piano_normal.mp3,0.042,0.542,1.000000,2.047,0.354,1.134,0.219,1.137
Bb5,82,As5,932.328,flute_As5_1_mezzo-forte_normal.mp3,0.085,0.585,1.000000,0.109,5.474,1.247,0.161,1.338
B5,83,B5,987.767,flute_B5_025_pianissimo_normal.mp3,0.018,0.518,1.000000,1.291,-4.566,1.099,0.518,1.017
